task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
713	6f/72245d	b644fe64-9556-4af3-8486-c105b8f19bf3	sourmash_compute_sketch (SRR4051091_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:45.269	20m 15s	3m 23s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
714	ac/44d4a8	27e581d4-40d7-47d6-9846-ef93065da124	sourmash_compute_sketch (SRR4051092_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:45.175	20m 14s	5m 2s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
715	87/60c262	044af475-2c64-400e-986b-f79eab588424	sourmash_compute_sketch (SRR4051093_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:45.160	15m 50s	2m 6s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
716	25/5234cc	721b04b6-0f9d-42b7-a17a-e50d6121bc5b	sourmash_compute_sketch (SRR4051094_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:45.341	20m 15s	2m 42s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
717	c2/6546e2	7c09d61b-691e-4ad4-ba63-c5958d16a210	sourmash_compute_sketch (SRR4051095_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:45.304	20m 15s	4m	0.0%	3.1 MB	19.3 MB	7.5 KB	0
718	bc/36504a	ce244d35-1dcd-4646-b435-d4f884a0a0c7	sourmash_compute_sketch (SRR4051096_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:45.368	20m 15s	3m 2s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
719	3c/809601	ca219ee5-da71-4741-8328-332dc83c30c5	sourmash_compute_sketch (SRR4051097_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:45.381	20m 16s	5m 6s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
720	55/f59ee3	9ca3d857-5972-4d0e-9596-3ee0602786fa	sourmash_compute_sketch (SRR4051098_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:45.368	20m 16s	4m 52s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
721	38/bf52c1	f4c9111c-e3ca-4cf6-a945-778e5f9f758c	sourmash_compute_sketch (SRR4051099_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:45.600	20m 16s	4m 39s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
722	84/1cb03e	e2961a2f-a084-47a7-b252-2f1e28de9445	sourmash_compute_sketch (SRR4051100_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:45.620	20m 16s	4m 54s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
723	f4/6a5440	e1c8c724-0692-4a1c-9d3f-07a38aeb509e	sourmash_compute_sketch (SRR4051101_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:45.655	20m 17s	4m 12s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
