task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
<<<<<<< HEAD
27	d5/dd94e3	674cdce0-70cc-4b19-b5b9-66a82dbf40b1	sourmash_compute_sketch (SRR4050405_pass)	CACHED	0	2019-03-09 17:56:46.212	12m 1s	4m 11s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
25	4f/78a38f	e51114ac-cda7-48ad-896b-42f42c75b61e	sourmash_compute_sketch (SRR4050403_pass)	CACHED	0	2019-03-09 17:56:47.894	12m 12s	6m 41s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
6	3b/ba713a	61da4002-29ef-472a-b8b0-9b0cb4b0a448	sourmash_compute_sketch (SRR4050382_pass)	CACHED	0	2019-03-09 17:56:46.531	12m 3s	5.5s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
94	e6/9f3098	06379c36-71f0-405b-bd07-ff8a13d85e37	sourmash_compute_sketch (SRR4050999_pass)	CACHED	0	2019-03-09 17:56:47.507	12m 7s	1m 12s	0.0%	3 MB	19.3 MB	7.5 KB	0
84	ca/3a7c88	4c11b4a9-5a61-4f8c-8e65-2084c7746541	sourmash_compute_sketch (SRR4050461_pass)	CACHED	0	2019-03-09 17:56:57.829	29m 42s	4m 36s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
19	20/d71180	e5aebea2-029e-4cef-a345-029eb919837e	sourmash_compute_sketch (SRR4050398_pass)	CACHED	0	2019-03-09 17:56:47.980	12m 12s	3m 51s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
36	bb/dad14a	7941ceab-1fee-4a8d-a3c3-b3abaedbe2ee	sourmash_compute_sketch (SRR4050414_pass)	CACHED	0	2019-03-09 17:56:46.231	12m 1s	5m	0.0%	3.1 MB	19.3 MB	7.5 KB	0
76	11/886a33	ac351d98-d5f1-47c4-b0b6-65a4c4899c81	sourmash_compute_sketch (SRR4050453_pass)	CACHED	0	2019-03-09 17:56:47.533	12m 8s	3m 46s	0.0%	2.9 MB	19.3 MB	7.5 KB	0
32	31/0413bc	5e8b6c99-3817-468c-becd-36054274efc6	sourmash_compute_sketch (SRR4050410_pass)	CACHED	0	2019-03-09 17:56:47.201	12m 5s	7m 38s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
97	19/edd64c	50cacd6d-06a6-462f-ad1c-a1a92601bf1b	sourmash_compute_sketch (SRR4051001_pass)	CACHED	0	2019-03-09 17:56:48.763	28m 56s	2m 7s	0.0%	3 MB	19.3 MB	7.5 KB	0
58	48/f43861	a413dc4f-1082-4dc5-a3bc-0372f5da2883	sourmash_compute_sketch (SRR4050436_pass)	CACHED	0	2019-03-09 17:56:48.314	28m 54s	6m 14s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
70	d4/9fb4ba	fb3342a4-4f39-4b77-bead-ccb38381b387	sourmash_compute_sketch (SRR4050448_pass)	CACHED	0	2019-03-09 17:56:46.703	12m 4s	3.8s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
5	83/45d4e7	5c8705b8-cee0-4c66-a634-98aa0b55e669	sourmash_compute_sketch (SRR4050383_pass)	CACHED	0	2019-03-09 17:56:52.811	29m 14s	4m 28s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
100	5f/357e35	f4cca8bf-f59a-4aa8-a2f2-08e7f204f3fd	sourmash_compute_sketch (SRR4051004_pass)	CACHED	0	2019-03-09 17:56:47.647	12m 9s	1m 44s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
50	b5/f5bc83	e731fcfd-a5e1-41d8-a90a-0d9cfae700cf	sourmash_compute_sketch (SRR4050428_pass)	CACHED	0	2019-03-09 17:56:47.937	12m 12s	2m 35s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
55	51/c5e432	6bda8a83-2281-4343-8bf4-931b3df2e567	sourmash_compute_sketch (SRR4050433_pass)	CACHED	0	2019-03-09 17:56:48.858	28m 57s	4m 53s	0.0%	3 MB	19.3 MB	7.5 KB	0
123	1b/e464ae	08ebc8f3-50ba-4dad-9777-08e15df7aff9	sourmash_compute_sketch (SRR4051028_pass)	CACHED	0	2019-03-09 17:56:50.767	29m 5s	2m 36s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
112	79/928817	031fa51b-8832-4169-b581-2712854b5af1	sourmash_compute_sketch (SRR4051016_pass)	CACHED	0	2019-03-09 17:56:46.356	12m 2s	2m 48s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
37	8e/c28de5	b3a502fa-e1f0-4ee5-9544-4f83c07bdab9	sourmash_compute_sketch (SRR4050415_pass)	CACHED	0	2019-03-09 17:56:48.206	28m 54s	4m 58s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
40	c2/14086f	81c84656-e961-48bf-815e-7131bec65193	sourmash_compute_sketch (SRR4050419_pass)	CACHED	0	2019-03-09 17:56:50.343	29m 4s	2m 47s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
56	49/1cfde7	e93419e2-cbca-4622-a53e-40f5b16ca6ea	sourmash_compute_sketch (SRR4050434_pass)	CACHED	0	2019-03-09 17:56:57.054	29m 33s	5m 56s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
22	97/7a1c19	9b30f1b0-3b85-446e-85c2-b7d4b9564070	sourmash_compute_sketch (SRR4050400_pass)	CACHED	0	2019-03-09 17:56:46.975	12m 5s	4m 19s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
92	91/0b7534	a8da9c85-59c5-4a51-880c-34d08aa7a60f	sourmash_compute_sketch (SRR4050996_pass)	CACHED	0	2019-03-09 17:57:02.073	29m 55s	1m 44s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
52	7a/336703	3ba7f436-12ba-4c0c-bb8b-baba1147f278	sourmash_compute_sketch (SRR4050429_pass)	CACHED	0	2019-03-09 17:56:48.410	28m 55s	5m 11s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
23	49/262964	0423646a-1e53-49dd-898c-8b743654b1a4	sourmash_compute_sketch (SRR4050401_pass)	CACHED	0	2019-03-09 17:56:46.677	12m 4s	5m 15s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
7	0d/688b88	283c57e4-2e93-4193-8091-8a47df1f6910	sourmash_compute_sketch (SRR4050381_pass)	CACHED	0	2019-03-09 17:56:49.607	29m 2s	4m 37s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
90	72/7c5955	7506b47b-0e54-4d74-b1fa-59ea33be97ab	sourmash_compute_sketch (SRR4050994_pass)	CACHED	0	2019-03-09 17:56:47.741	12m 11s	1m 16s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
127	39/9ab808	99c6e827-d32f-4b45-9212-4736e64365be	sourmash_compute_sketch (SRR4051032_pass)	CACHED	0	2019-03-09 17:56:46.278	12m 2s	2m 43s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
51	94/95c354	40d79315-0e22-477c-bf08-a0187ff3d823	sourmash_compute_sketch (SRR4050430_pass)	CACHED	0	2019-03-09 17:56:46.277	12m 1s	3m 37s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
77	a6/1eaed3	d99151ea-a8bc-483c-9845-5ed3d2b416b6	sourmash_compute_sketch (SRR4050455_pass)	CACHED	0	2019-03-09 17:56:47.687	12m 10s	4m 39s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
16	58/c9cdf8	0623f7d4-07d5-49ba-86f5-00c88245caf2	sourmash_compute_sketch (SRR4050394_pass)	CACHED	0	2019-03-09 17:56:46.085	12m	3m 54s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
4	9f/321438	54396442-abc7-4dfe-8f07-bd55d86d3d86	sourmash_compute_sketch (SRR4050380_pass)	CACHED	0	2019-03-09 17:56:46.336	12m 2s	1m 13s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
57	a3/500838	5cd3c127-e4fa-464b-92dc-8bb700b4d284	sourmash_compute_sketch (SRR4050437_pass)	CACHED	0	2019-03-09 17:56:47.668	12m 9s	5m 25s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
15	55/204a21	b47160ad-d131-4663-a1f8-e5c5841d8049	sourmash_compute_sketch (SRR4050393_pass)	CACHED	0	2019-03-09 17:56:48.232	28m 54s	5m 57s	0.0%	3 MB	19.3 MB	7.5 KB	0
96	d4/f9e8c0	f21f917b-2d7f-4ace-811d-8939ea10e3f6	sourmash_compute_sketch (SRR4051000_pass)	CACHED	0	2019-03-09 17:56:51.294	29m 7s	1m 33s	0.0%	3 MB	19.3 MB	7.5 KB	0
30	89/bac42d	5089c5d5-b061-45ad-9ed3-34ad77ea9840	sourmash_compute_sketch (SRR4050408_pass)	CACHED	0	2019-03-09 17:56:47.726	12m 10s	5m 30s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
46	41/ee582c	53348edd-7da6-4690-9365-80435401edf6	sourmash_compute_sketch (SRR4050424_pass)	CACHED	0	2019-03-09 17:56:45.798	11m 59s	3m 35s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
43	fc/4640ff	18298d78-dd77-4218-b3e6-2adc180f0503	sourmash_compute_sketch (SRR4050422_pass)	CACHED	0	2019-03-09 17:56:46.555	12m 3s	3m 15s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
11	14/e0cc95	aa6a1546-09e9-4108-bf88-5f9bb620b4bf	sourmash_compute_sketch (SRR4050389_pass)	CACHED	0	2019-03-09 17:56:45.942	12m	8m 44s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
13	e5/17fbe0	470ae624-ff96-4514-8150-70eafe47100e	sourmash_compute_sketch (SRR4050391_pass)	CACHED	0	2019-03-09 17:56:46.853	12m 4s	3m 58s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
91	42/6a7ad7	03dfbf17-3472-4b1b-8cc7-5a000692d371	sourmash_compute_sketch (SRR4050995_pass)	CACHED	0	2019-03-09 17:56:45.995	12m	3m	0.0%	3.1 MB	19.3 MB	7.5 KB	0
105	ff/de3c99	ab715dd8-964b-4032-9d04-2137a1733a19	sourmash_compute_sketch (SRR4051009_pass)	CACHED	0	2019-03-09 17:56:47.210	12m 6s	55.9s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
60	ff/7cc295	f5211618-056b-4fde-b2d7-51c84e6fc61e	sourmash_compute_sketch (SRR4050438_pass)	CACHED	0	2019-03-09 17:56:46.351	12m 2s	4m 51s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
99	b9/921962	fb0e46b3-c3a6-406b-b479-19fa791924bd	sourmash_compute_sketch (SRR4051002_pass)	CACHED	0	2019-03-09 17:56:51.335	29m 8s	3m 9s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
26	c0/405c3a	89623a74-3a43-4ada-9037-998ad8c2af7f	sourmash_compute_sketch (SRR4050404_pass)	CACHED	0	2019-03-09 17:56:49.719	29m 3s	3m 43s	0.0%	3 MB	19.3 MB	7.5 KB	0
